xDate,xHour,REGION,MICRO_CLUSTER,Subscluster,CLUSTER2b,site_id,BSC_ID,BCF_ID,BTS_ID,CELL_ID,BAND,tch_avail,TBF_DROP,CSSR,gsm_data_total_traffic_DL,Drop_Call_Rate_2,TCH_Traffic_trf_24c,HOSR,TASR,SDCCH_DROP,DLQUAL0_5,ULQUAL0_5,Date_hour,id
2021-04-15 00:00:00,0 days 13:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,8.33,93.75,55.14,0.0,1.56,,100.0,6.25,99.99,100.0,2021-04-15 13:00:00,44352
2021-04-15 00:00:00,0 days 13:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.41,96.15,17.39,0.0,1.82,100.0,100.0,3.85,98.78,94.96,2021-04-15 13:00:00,44353
2021-04-15 00:00:00,0 days 14:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.36,,1111.83,,0.0,,,0.0,,,2021-04-15 14:00:00,44351
2021-04-15 00:00:00,0 days 14:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,,126.69,,0.0,,,6.25,,,2021-04-15 14:00:00,44352
2021-04-15 00:00:00,0 days 14:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.93,100.0,9.91,0.0,0.84,,100.0,0.0,99.87,93.95,2021-04-15 14:00:00,44353
2021-04-15 00:00:00,0 days 15:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,-0.04,100.0,649.9,,0.01,100.0,100.0,0.0,100.0,100.0,2021-04-15 15:00:00,44351
2021-04-15 00:00:00,0 days 15:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.1,97.56,551.42,0.0,0.11,,100.0,2.44,96.4,99.1,2021-04-15 15:00:00,44352
2021-04-15 00:00:00,0 days 15:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,1.91,100.0,200.38,0.0,0.3,100.0,100.0,0.0,99.4,100.0,2021-04-15 15:00:00,44353
2021-04-15 00:00:00,0 days 16:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.0,,0.14,,0.0,,,0.0,,,2021-04-15 16:00:00,44351
2021-04-15 00:00:00,0 days 16:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.15,100.0,1264.05,0.0,0.17,100.0,100.0,0.0,99.83,100.0,2021-04-15 16:00:00,44352
2021-04-15 00:00:00,0 days 16:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,97.26,11.92,0.0,0.42,100.0,100.0,2.74,99.74,100.0,2021-04-15 16:00:00,44353
2021-04-15 00:00:00,0 days 17:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,-100.0,100.0,0.0,0.0,0.43,100.0,100.0,0.0,97.42,100.0,2021-04-15 17:00:00,44351
2021-04-15 00:00:00,0 days 17:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.04,100.0,1204.89,0.0,0.23,100.0,100.0,0.0,87.1,99.23,2021-04-15 17:00:00,44352
2021-04-15 00:00:00,0 days 17:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.79,98.21,9.98,0.0,0.82,100.0,100.0,1.79,99.97,99.06,2021-04-15 17:00:00,44353
2021-04-15 00:00:00,0 days 18:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,,100.0,0.0,0.0,0.06,100.0,100.0,0.0,98.29,100.0,2021-04-15 18:00:00,44351
2021-04-15 00:00:00,0 days 18:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.13,97.14,1238.83,0.0,0.44,100.0,100.0,2.86,97.63,97.76,2021-04-15 18:00:00,44352
2021-04-15 00:00:00,0 days 18:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.0,100.0,16.57,0.0,1.0,100.0,100.0,0.0,99.79,99.84,2021-04-15 18:00:00,44353
2021-04-15 00:00:00,0 days 19:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.13,100.0,620.61,0.0,0.01,100.0,100.0,0.0,100.0,100.0,2021-04-15 19:00:00,44351
2021-04-15 00:00:00,0 days 19:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,96.67,522.06,0.0,0.24,100.0,100.0,3.33,99.05,100.0,2021-04-15 19:00:00,44352
2021-04-15 00:00:00,0 days 19:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.51,100.0,106.13,0.0,1.19,,100.0,0.0,99.82,100.0,2021-04-15 19:00:00,44353
2021-04-15 00:00:00,0 days 20:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.06,100.0,882.94,0.0,0.02,,100.0,0.0,100.0,100.0,2021-04-15 20:00:00,44351
2021-04-15 00:00:00,0 days 20:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2332,44352,900,100.0,0.0,100.0,0.29,0.0,0.02,,100.0,0.0,100.0,100.0,2021-04-15 20:00:00,44352
2021-04-15 00:00:00,0 days 20:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2333,44353,900,100.0,0.7,100.0,51.63,0.0,2.09,,100.0,0.0,99.96,99.12,2021-04-15 20:00:00,44353
2021-04-15 00:00:00,0 days 21:00:00,KRO,MC-SAMARINDA 2,PO21_01_KAL_1800_22,,19SMR189,408974,2331,2331,44351,900,100.0,0.03,,722.58,,0.0,,,25.0,,,2021-04-15 21:00:00,44351
